fir_id,person_a,person_b,crime_type,date,location,case_status
F006884,P06264,P03474,Money Laundering,2025-09-20,Ahmedabad,Under Investigation
F006885,P08052,P05219,Organized Fraud,2025-04-21,Rajkot,Closed
F006886,P01065,P00970,Financial Fraud,2025-09-07,Delhi,Under Investigation
F006887,P00196,P01647,Financial Fraud,2025-04-25,Mumbai,Under Investigation
F006888,P09313,P05539,Cyber Fraud,2025-05-01,Indore,Open
F006889,P02855,P09584,Illegal Financing,2025-02-06,Kolkata,Open
F006890,P05283,P07078,Organized Fraud,2025-12-09,Indore,Open
F006891,P00514,P06714,Cyber Fraud,2025-11-08,Surat,Open
F006892,P08150,P01849,Cyber Fraud,2025-12-28,Vadodara,Open
F006893,P07355,P00952,Illegal Financing,2025-11-26,Kolkata,Closed
F006894,P04297,P01722,Financial Fraud,2025-10-21,Kolkata,Closed
F006895,P06738,P04559,Illegal Financing,2025-02-14,Ahmedabad,Open
F006896,P00233,P06209,Financial Fraud,2025-07-26,Rajkot,Open
F006897,P06647,P03915,Illegal Financing,2025-09-22,Kolkata,Open
F006898,P06130,P07886,Financial Fraud,2025-07-18,Hyderabad,Open
F006899,P06947,P08976,Money Laundering,2025-04-28,Hyderabad,Under Investigation
F006900,P09167,P06729,Organized Fraud,2025-04-22,Pune,Under Investigation
F006901,P06179,P06454,Organized Fraud,2025-05-31,Indore,Open
F006902,P07627,P04107,Financial Fraud,2025-03-13,Ahmedabad,Closed
F006903,P09515,P01036,Money Laundering,2025-03-30,Surat,Closed
F006904,P05811,P04932,Financial Fraud,2025-01-22,Vadodara,Under Investigation
F006905,P01731,P01780,Illegal Financing,2025-02-05,Vadodara,Under Investigation
F006906,P00032,P03139,Cyber Fraud,2025-11-12,Mumbai,Under Investigation
F006907,P01985,P02692,Organized Fraud,2025-11-17,Pune,Under Investigation
F006908,P09565,P02895,Money Laundering,2025-11-10,Jaipur,Open
F006909,P00227,P06871,Cyber Fraud,2025-09-29,Vadodara,Under Investigation
F006910,P03430,P08460,Cyber Fraud,2025-01-28,Bengaluru,Under Investigation
F006911,P06868,P03554,Organized Fraud,2025-09-27,Hyderabad,Open
F006912,P03295,P03693,Cyber Fraud,2025-03-09,Ahmedabad,Open
F006913,P01127,P03693,Money Laundering,2025-01-20,Delhi,Under Investigation
F006914,P05391,P00498,Money Laundering,2025-12-19,Bengaluru,Under Investigation
F006915,P06681,P01660,Money Laundering,2025-09-18,Vadodara,Under Investigation
F006916,P03648,P04091,Cyber Fraud,2025-06-12,Delhi,Closed
F006917,P03602,P01765,Money Laundering,2025-01-21,Kolkata,Open
F006918,P05151,P01359,Extortion,2025-12-20,Ahmedabad,Open
F006919,P09732,P04643,Illegal Financing,2025-04-22,Pune,Open
F006920,P04740,P07834,Cyber Fraud,2025-01-06,Bengaluru,Closed
F006921,P01654,P09022,Financial Fraud,2025-10-29,Jaipur,Under Investigation
F006922,P06531,P07831,Cyber Fraud,2025-02-03,Surat,Open
F006923,P06854,P04071,Organized Fraud,2025-03-14,Kolkata,Under Investigation
F006924,P09813,P09624,Illegal Financing,2025-09-22,Mumbai,Open
F006925,P00987,P02595,Illegal Financing,2025-04-06,Kolkata,Closed
F006926,P08711,P09411,Money Laundering,2025-05-08,Delhi,Open
F006927,P04545,P01012,Cyber Fraud,2025-01-06,Vadodara,Open
F006928,P09816,P02150,Extortion,2025-11-04,Ahmedabad,Under Investigation
F006929,P00865,P00379,Cyber Fraud,2025-07-27,Bengaluru,Under Investigation
F006930,P01159,P04955,Extortion,2025-11-16,Bengaluru,Closed
F006931,P08383,P09706,Extortion,2025-10-07,Kolkata,Under Investigation
F006932,P04139,P03973,Organized Fraud,2025-06-21,Mumbai,Under Investigation
F006933,P08062,P02590,Extortion,2025-08-25,Vadodara,Open
F006934,P03153,P05224,Extortion,2025-06-01,Indore,Open
F006935,P08908,P00499,Organized Fraud,2025-03-01,Vadodara,Under Investigation
F006936,P04701,P07553,Extortion,2025-07-23,Ahmedabad,Open
F006937,P01349,P06922,Financial Fraud,2025-08-10,Bengaluru,Under Investigation
F006938,P02339,P05394,Extortion,2025-04-12,Bengaluru,Closed
F006939,P04669,P00356,Extortion,2025-02-28,Mumbai,Under Investigation
F006940,P03760,P01867,Financial Fraud,2025-07-22,Vadodara,Open
F006941,P07186,P03735,Money Laundering,2025-04-21,Mumbai,Open
F006942,P04972,P03391,Financial Fraud,2025-06-19,Delhi,Under Investigation
F006943,P05780,P02917,Illegal Financing,2025-04-24,Pune,Under Investigation
F006944,P09816,P02739,Organized Fraud,2025-04-10,Surat,Closed
F006945,P00302,P08269,Extortion,2025-11-25,Mumbai,Closed
F006946,P07159,P01569,Organized Fraud,2025-06-12,Vadodara,Closed
F006947,P02081,P04733,Financial Fraud,2025-07-12,Surat,Open
F006948,P09741,P04490,Financial Fraud,2025-06-09,Hyderabad,Under Investigation
F006949,P00132,P03790,Illegal Financing,2025-10-11,Delhi,Open
F006950,P05037,P01767,Illegal Financing,2025-05-21,Hyderabad,Open
F006951,P04599,P09645,Cyber Fraud,2025-07-09,Indore,Under Investigation
F006952,P09269,P06988,Cyber Fraud,2025-02-03,Delhi,Open
F006953,P00894,P09722,Extortion,2025-07-12,Ahmedabad,Open
F006954,P00575,P00927,Organized Fraud,2025-01-04,Pune,Under Investigation
F006955,P04227,P08717,Extortion,2025-09-11,Pune,Open
F006956,P06324,P02338,Money Laundering,2025-01-01,Vadodara,Closed
F006957,P01592,P01451,Extortion,2025-07-11,Jaipur,Under Investigation
F006958,P02367,P02368,Financial Fraud,2025-01-07,Hyderabad,Under Investigation
F006959,P09314,P06895,Money Laundering,2025-03-07,Rajkot,Open
F006960,P01202,P04913,Extortion,2025-09-18,Hyderabad,Under Investigation
F006961,P05733,P03134,Extortion,2025-12-31,Rajkot,Closed
F006962,P01426,P05849,Illegal Financing,2025-09-03,Indore,Open
F006963,P09671,P02091,Illegal Financing,2025-04-23,Indore,Under Investigation
F006964,P04694,P02156,Illegal Financing,2025-01-08,Mumbai,Under Investigation
F006965,P05228,P01918,Cyber Fraud,2025-06-27,Kolkata,Closed
F006966,P00208,P07731,Money Laundering,2025-05-13,Surat,Open
F006967,P04847,P07421,Cyber Fraud,2025-10-28,Surat,Under Investigation
F006968,P03173,P01996,Extortion,2025-10-10,Bengaluru,Under Investigation
F006969,P01914,P01521,Extortion,2025-07-07,Surat,Under Investigation
F006970,P00656,P02357,Money Laundering,2025-08-23,Hyderabad,Open
F006971,P01962,P09407,Organized Fraud,2025-08-02,Rajkot,Closed
F006972,P00058,P03534,Cyber Fraud,2025-02-08,Pune,Under Investigation
F006973,P09650,P02168,Financial Fraud,2025-12-06,Ahmedabad,Under Investigation
F006974,P04005,P04653,Organized Fraud,2025-07-31,Surat,Under Investigation
F006975,P08234,P08138,Extortion,2025-12-28,Mumbai,Open
F006976,P03269,P05110,Cyber Fraud,2025-07-13,Hyderabad,Under Investigation
F006977,P00295,P08476,Money Laundering,2025-01-30,Delhi,Open
F006978,P08382,P00737,Organized Fraud,2025-03-02,Bengaluru,Open
F006979,P02489,P01938,Illegal Financing,2025-08-07,Pune,Open
F006980,P03306,P06467,Money Laundering,2025-05-29,Pune,Under Investigation
F006981,P08756,P00170,Illegal Financing,2025-01-01,Bengaluru,Open
F006982,P03682,P04309,Money Laundering,2025-06-24,Mumbai,Under Investigation
F006983,P07358,P05231,Cyber Fraud,2025-02-21,Hyderabad,Under Investigation
F006984,P04403,P02707,Extortion,2025-12-24,Surat,Open
F006985,P03813,P09270,Cyber Fraud,2025-02-18,Ahmedabad,Open
F006986,P06183,P09396,Cyber Fraud,2025-07-01,Ahmedabad,Under Investigation
F006987,P08628,P08132,Extortion,2025-05-22,Surat,Under Investigation
F006988,P05946,P01930,Cyber Fraud,2025-04-04,Jaipur,Under Investigation
F006989,P09115,P03083,Money Laundering,2025-07-19,Vadodara,Closed
F006990,P08848,P01544,Organized Fraud,2025-08-03,Mumbai,Closed
F006991,P09683,P09145,Financial Fraud,2025-02-18,Jaipur,Closed
F006992,P06236,P01302,Organized Fraud,2025-07-22,Kolkata,Open
F006993,P01311,P09129,Financial Fraud,2025-05-19,Delhi,Under Investigation
F006994,P00363,P08519,Money Laundering,2025-09-29,Delhi,Closed
F006995,P05794,P07371,Financial Fraud,2025-01-03,Vadodara,Closed
F006996,P09539,P06904,Financial Fraud,2025-03-01,Vadodara,Open
F006997,P02648,P07907,Extortion,2025-03-20,Mumbai,Open
F006998,P06478,P09293,Financial Fraud,2025-05-12,Rajkot,Closed
F006999,P05109,P01402,Money Laundering,2025-08-29,Mumbai,Closed
F007000,P06632,P09814,Extortion,2025-11-09,Indore,Open
F007001,P08498,P00387,Extortion,2025-11-23,Surat,Under Investigation
F007002,P04011,P02045,Organized Fraud,2025-01-25,Rajkot,Under Investigation
F007003,P01247,P03176,Organized Fraud,2025-01-07,Kolkata,Open
F007004,P09782,P06469,Cyber Fraud,2025-01-11,Jaipur,Open
F007005,P04578,P08478,Cyber Fraud,2025-05-09,Hyderabad,Under Investigation
F007006,P05604,P05657,Cyber Fraud,2025-03-30,Hyderabad,Under Investigation
F007007,P00565,P06437,Cyber Fraud,2025-10-17,Vadodara,Open
F007008,P02693,P03164,Money Laundering,2025-06-07,Bengaluru,Closed
F007009,P05953,P02445,Extortion,2025-07-16,Indore,Under Investigation
F007010,P09536,P07735,Illegal Financing,2025-11-03,Jaipur,Open
F007011,P01113,P04330,Money Laundering,2025-08-13,Surat,Open
F007012,P05606,P04598,Financial Fraud,2025-05-15,Rajkot,Open
F007013,P09708,P01256,Organized Fraud,2025-04-03,Delhi,Open
F007014,P04670,P03677,Organized Fraud,2025-05-16,Rajkot,Open
F007015,P04363,P00868,Money Laundering,2025-05-08,Pune,Open
F007016,P00357,P00834,Illegal Financing,2025-12-01,Delhi,Under Investigation
F007017,P02017,P00804,Illegal Financing,2025-02-09,Pune,Under Investigation
F007018,P06430,P03185,Organized Fraud,2025-01-26,Pune,Open
F007019,P07748,P02411,Organized Fraud,2025-02-04,Indore,Under Investigation
F007020,P09264,P08930,Financial Fraud,2025-10-13,Hyderabad,Under Investigation
F007021,P07326,P04735,Organized Fraud,2025-05-18,Jaipur,Closed
F007022,P08176,P01337,Financial Fraud,2025-02-10,Pune,Closed
F007023,P04025,P03853,Extortion,2025-05-12,Surat,Under Investigation
F007024,P01335,P07808,Money Laundering,2025-04-29,Mumbai,Open
F007025,P07371,P08937,Illegal Financing,2025-01-18,Ahmedabad,Under Investigation
F007026,P02754,P07959,Cyber Fraud,2025-02-22,Indore,Closed
F007027,P02651,P04885,Financial Fraud,2025-08-21,Ahmedabad,Open
F007028,P02739,P05723,Cyber Fraud,2025-04-30,Indore,Closed
F007029,P03925,P08217,Illegal Financing,2025-06-03,Bengaluru,Under Investigation
F007030,P04177,P08204,Organized Fraud,2025-05-28,Ahmedabad,Under Investigation
F007031,P04354,P00953,Financial Fraud,2025-06-30,Indore,Closed
F007032,P05181,P06098,Organized Fraud,2025-12-04,Ahmedabad,Under Investigation
F007033,P00263,P06702,Extortion,2025-07-31,Pune,Open
F007034,P03433,P04012,Organized Fraud,2025-10-01,Pune,Under Investigation
F007035,P09624,P06557,Extortion,2025-03-31,Kolkata,Open
F007036,P09231,P02810,Extortion,2025-02-07,Jaipur,Closed
F007037,P04613,P01429,Cyber Fraud,2025-09-15,Kolkata,Under Investigation
F007038,P03567,P06430,Financial Fraud,2025-01-21,Indore,Under Investigation
F007039,P03160,P02840,Money Laundering,2025-10-01,Surat,Under Investigation
F007040,P09542,P05268,Organized Fraud,2025-03-27,Mumbai,Open
F007041,P00037,P07979,Financial Fraud,2025-04-04,Indore,Closed
F007042,P03551,P05870,Organized Fraud,2025-09-24,Hyderabad,Closed
F007043,P04041,P04509,Illegal Financing,2025-12-19,Jaipur,Open
F007044,P06228,P08037,Illegal Financing,2025-04-04,Bengaluru,Under Investigation
F007045,P01144,P03143,Organized Fraud,2025-07-19,Bengaluru,Open
F007046,P03341,P03907,Cyber Fraud,2025-09-07,Ahmedabad,Open
F007047,P02772,P07475,Money Laundering,2025-01-25,Rajkot,Open
F007048,P04847,P04544,Organized Fraud,2025-12-04,Vadodara,Under Investigation
F007049,P00597,P04425,Money Laundering,2025-12-01,Rajkot,Under Investigation
F007050,P07867,P06015,Financial Fraud,2025-11-12,Mumbai,Open
F007051,P05713,P07384,Extortion,2025-04-21,Ahmedabad,Open
F007052,P06949,P08903,Cyber Fraud,2025-10-06,Indore,Open
F007053,P04284,P08010,Financial Fraud,2025-09-14,Ahmedabad,Closed
F007054,P09235,P01347,Organized Fraud,2025-01-24,Mumbai,Open
F007055,P06204,P05172,Cyber Fraud,2025-02-19,Delhi,Open
F007056,P04667,P00838,Extortion,2025-07-16,Mumbai,Under Investigation
F007057,P02429,P00673,Cyber Fraud,2025-02-16,Mumbai,Open
F007058,P05703,P08799,Cyber Fraud,2025-08-19,Ahmedabad,Open
F007059,P05097,P06957,Organized Fraud,2025-07-25,Surat,Under Investigation
F007060,P08301,P07264,Money Laundering,2025-07-14,Ahmedabad,Closed
F007061,P00438,P09077,Extortion,2025-02-21,Surat,Open
F007062,P07889,P08341,Extortion,2025-08-07,Mumbai,Under Investigation
F007063,P08871,P07089,Financial Fraud,2025-09-05,Vadodara,Open
F007064,P06485,P02916,Cyber Fraud,2025-03-12,Bengaluru,Closed
F007065,P05049,P07897,Money Laundering,2025-05-01,Vadodara,Closed
F007066,P01391,P07942,Organized Fraud,2025-11-01,Mumbai,Open
F007067,P09085,P07213,Extortion,2025-10-20,Hyderabad,Open
F007068,P02383,P05319,Money Laundering,2025-07-29,Ahmedabad,Under Investigation
F007069,P04320,P08344,Extortion,2025-01-15,Indore,Open
F007070,P08178,P02259,Financial Fraud,2025-02-28,Jaipur,Under Investigation
F007071,P05836,P04715,Financial Fraud,2025-07-08,Hyderabad,Open
F007072,P04905,P00360,Organized Fraud,2025-02-02,Delhi,Under Investigation
F007073,P08483,P08988,Extortion,2025-11-04,Pune,Closed
F007074,P04554,P07998,Extortion,2025-01-30,Ahmedabad,Open
F007075,P04246,P02239,Organized Fraud,2025-08-28,Indore,Closed
F007076,P02667,P08350,Extortion,2025-10-12,Hyderabad,Under Investigation
F007077,P06110,P07204,Illegal Financing,2025-08-03,Ahmedabad,Open
F007078,P05419,P08429,Financial Fraud,2025-11-06,Ahmedabad,Under Investigation
F007079,P02288,P09453,Illegal Financing,2025-05-02,Rajkot,Open
F007080,P03259,P00922,Extortion,2025-04-22,Vadodara,Open
F007081,P07859,P08798,Organized Fraud,2025-01-20,Rajkot,Open
F007082,P04649,P01541,Illegal Financing,2025-12-04,Delhi,Under Investigation
F007083,P03448,P03604,Cyber Fraud,2025-12-17,Bengaluru,Under Investigation
F007084,P07469,P06196,Organized Fraud,2025-04-04,Hyderabad,Open
F007085,P09265,P05615,Financial Fraud,2025-11-30,Delhi,Under Investigation
F007086,P05972,P03209,Extortion,2025-11-10,Vadodara,Open
F007087,P07761,P06817,Money Laundering,2025-04-22,Delhi,Under Investigation
F007088,P05670,P05991,Illegal Financing,2025-03-05,Indore,Under Investigation
F007089,P09612,P07887,Money Laundering,2025-09-15,Rajkot,Closed
F007090,P06063,P07005,Financial Fraud,2025-11-25,Rajkot,Under Investigation
F007091,P03387,P09598,Money Laundering,2025-12-10,Ahmedabad,Open
F007092,P09384,P08333,Financial Fraud,2025-04-27,Indore,Open
F007093,P07902,P07861,Organized Fraud,2025-01-15,Indore,Under Investigation
F007094,P06716,P00715,Money Laundering,2025-07-18,Mumbai,Under Investigation
F007095,P01726,P00470,Organized Fraud,2025-04-11,Indore,Open
F007096,P04583,P07048,Illegal Financing,2025-10-03,Mumbai,Closed
F007097,P05477,P05696,Financial Fraud,2025-10-02,Surat,Open
F007098,P05776,P07298,Illegal Financing,2025-10-21,Surat,Open
F007099,P09868,P09767,Financial Fraud,2025-12-19,Vadodara,Under Investigation
F007100,P00562,P08746,Money Laundering,2025-07-09,Pune,Under Investigation
F007101,P01421,P00014,Organized Fraud,2025-03-01,Delhi,Open
F007102,P05049,P07897,Money Laundering,2025-01-19,Ahmedabad,Open
F007103,P01479,P06183,Cyber Fraud,2025-06-27,Hyderabad,Under Investigation
F007104,P02787,P07212,Money Laundering,2025-02-09,Rajkot,Under Investigation
F007105,P06604,P02602,Cyber Fraud,2025-06-01,Hyderabad,Under Investigation
F007106,P05143,P06916,Cyber Fraud,2025-11-05,Kolkata,Open
F007107,P00160,P08560,Extortion,2025-07-12,Vadodara,Open
F007108,P08749,P07134,Organized Fraud,2025-05-25,Indore,Closed
F007109,P02546,P00027,Financial Fraud,2025-04-27,Surat,Open
F007110,P04406,P01888,Cyber Fraud,2025-09-17,Rajkot,Open
F007111,P01291,P07594,Illegal Financing,2025-01-25,Rajkot,Open
F007112,P01600,P03822,Illegal Financing,2025-02-04,Indore,Closed
F007113,P09667,P03937,Organized Fraud,2025-07-14,Kolkata,Closed
F007114,P08826,P00283,Financial Fraud,2025-06-21,Delhi,Closed
F007115,P08556,P04709,Illegal Financing,2025-01-09,Mumbai,Under Investigation
F007116,P09482,P02647,Cyber Fraud,2025-01-03,Kolkata,Open
F007117,P03614,P02290,Organized Fraud,2025-01-13,Surat,Under Investigation
F007118,P08369,P01590,Illegal Financing,2025-05-08,Mumbai,Open
F007119,P00613,P09914,Money Laundering,2025-11-19,Indore,Under Investigation
F007120,P08325,P08203,Illegal Financing,2025-08-05,Ahmedabad,Under Investigation
F007121,P08093,P01829,Illegal Financing,2025-09-17,Ahmedabad,Under Investigation
F007122,P02458,P03373,Illegal Financing,2025-10-28,Rajkot,Under Investigation
F007123,P05566,P00225,Money Laundering,2025-07-23,Delhi,Closed
F007124,P05953,P06356,Financial Fraud,2025-10-29,Surat,Open
F007125,P08589,P00294,Financial Fraud,2025-06-12,Pune,Under Investigation
F007126,P00782,P02672,Cyber Fraud,2025-10-06,Hyderabad,Open
F007127,P05604,P07800,Money Laundering,2025-10-02,Surat,Closed
F007128,P00118,P07656,Extortion,2025-10-30,Mumbai,Under Investigation
F007129,P00696,P07420,Organized Fraud,2025-07-20,Vadodara,Under Investigation
F007130,P09190,P05207,Money Laundering,2025-10-26,Vadodara,Open
F007131,P02156,P04339,Money Laundering,2025-11-24,Vadodara,Under Investigation
F007132,P01301,P07557,Illegal Financing,2025-03-25,Ahmedabad,Under Investigation
F007133,P05814,P08691,Extortion,2025-03-29,Bengaluru,Closed
F007134,P09255,P09045,Financial Fraud,2025-05-01,Jaipur,Under Investigation
F007135,P00710,P09755,Illegal Financing,2025-02-19,Jaipur,Under Investigation
F007136,P06855,P05369,Illegal Financing,2025-05-28,Jaipur,Open
F007137,P03299,P09742,Cyber Fraud,2025-12-23,Mumbai,Closed
F007138,P08925,P07889,Extortion,2025-11-05,Surat,Under Investigation
F007139,P03227,P03282,Illegal Financing,2025-12-08,Indore,Under Investigation
F007140,P02037,P08925,Organized Fraud,2025-12-05,Vadodara,Open
F007141,P03614,P02715,Money Laundering,2025-08-24,Indore,Open
F007142,P00614,P04533,Cyber Fraud,2025-05-24,Mumbai,Open
F007143,P09877,P03121,Illegal Financing,2025-08-05,Hyderabad,Under Investigation
F007144,P09434,P07552,Organized Fraud,2025-10-20,Mumbai,Open
F007145,P09129,P02228,Money Laundering,2025-12-28,Delhi,Under Investigation
F007146,P07359,P02434,Financial Fraud,2025-06-13,Pune,Open
F007147,P01770,P01009,Financial Fraud,2025-10-22,Indore,Under Investigation
F007148,P01918,P03234,Extortion,2025-12-29,Hyderabad,Open
F007149,P07940,P00448,Financial Fraud,2025-03-13,Surat,Open
F007150,P02383,P06857,Extortion,2025-06-03,Bengaluru,Closed
F007151,P01261,P01125,Cyber Fraud,2025-03-05,Rajkot,Under Investigation
F007152,P09978,P04462,Organized Fraud,2025-07-25,Surat,Under Investigation
F007153,P01135,P08185,Money Laundering,2025-03-01,Indore,Closed
F007154,P07002,P01270,Cyber Fraud,2025-09-22,Hyderabad,Under Investigation
F007155,P02197,P01530,Money Laundering,2025-06-08,Indore,Closed
F007156,P02205,P02698,Cyber Fraud,2025-06-13,Kolkata,Under Investigation
F007157,P09063,P08767,Financial Fraud,2025-01-01,Mumbai,Open
F007158,P03791,P05856,Financial Fraud,2025-10-06,Indore,Under Investigation
F007159,P09686,P03151,Organized Fraud,2025-05-05,Kolkata,Open
F007160,P06962,P00020,Money Laundering,2025-09-25,Ahmedabad,Under Investigation
F007161,P09507,P00778,Illegal Financing,2025-04-24,Kolkata,Under Investigation
F007162,P05372,P09400,Extortion,2025-09-10,Bengaluru,Closed
F007163,P05726,P01640,Financial Fraud,2025-08-24,Indore,Open
F007164,P04629,P09255,Cyber Fraud,2025-06-27,Mumbai,Open
F007165,P02687,P09792,Cyber Fraud,2025-08-19,Hyderabad,Under Investigation
F007166,P08917,P01179,Organized Fraud,2025-07-25,Hyderabad,Open
F007167,P01620,P05302,Organized Fraud,2025-06-27,Hyderabad,Open
F007168,P09585,P09619,Illegal Financing,2025-05-23,Pune,Open
F007169,P04304,P07664,Organized Fraud,2025-05-20,Jaipur,Under Investigation
F007170,P07169,P00401,Money Laundering,2025-09-27,Vadodara,Open
F007171,P09240,P09705,Cyber Fraud,2025-06-16,Mumbai,Open
F007172,P02028,P08118,Extortion,2025-02-03,Indore,Closed
F007173,P04607,P06266,Money Laundering,2025-09-01,Hyderabad,Under Investigation
F007174,P09791,P08647,Financial Fraud,2025-08-20,Indore,Closed
F007175,P06236,P07037,Illegal Financing,2025-07-28,Ahmedabad,Under Investigation
F007176,P00601,P08226,Extortion,2025-12-08,Kolkata,Under Investigation
F007177,P05294,P07489,Organized Fraud,2025-09-25,Ahmedabad,Closed
F007178,P07931,P04702,Money Laundering,2025-06-18,Vadodara,Under Investigation
F007179,P04365,P07210,Organized Fraud,2025-08-23,Ahmedabad,Open
F007180,P03128,P02891,Illegal Financing,2025-04-30,Surat,Under Investigation
F007181,P07641,P04799,Financial Fraud,2025-10-20,Kolkata,Open
F007182,P07984,P00917,Cyber Fraud,2025-04-01,Vadodara,Open
F007183,P08088,P06969,Cyber Fraud,2025-05-28,Vadodara,Under Investigation
F007184,P07380,P09873,Financial Fraud,2025-07-14,Mumbai,Closed
F007185,P03153,P06756,Extortion,2025-06-18,Ahmedabad,Open
F007186,P06149,P09451,Money Laundering,2025-04-13,Ahmedabad,Closed
F007187,P06598,P05978,Money Laundering,2025-07-13,Vadodara,Under Investigation
F007188,P04678,P01813,Illegal Financing,2025-04-27,Vadodara,Open
F007189,P02060,P05778,Organized Fraud,2025-06-30,Delhi,Closed
F007190,P04377,P03287,Illegal Financing,2025-07-09,Hyderabad,Under Investigation
F007191,P06538,P07007,Money Laundering,2025-06-04,Surat,Open
F007192,P08541,P01407,Extortion,2025-10-17,Surat,Closed
F007193,P05464,P03758,Organized Fraud,2025-02-21,Pune,Open
F007194,P00451,P09640,Cyber Fraud,2025-08-02,Surat,Under Investigation
F007195,P06082,P01875,Cyber Fraud,2025-02-06,Ahmedabad,Open
F007196,P02600,P01694,Illegal Financing,2025-10-09,Hyderabad,Closed
F007197,P04262,P01950,Organized Fraud,2025-12-28,Hyderabad,Open
F007198,P00379,P02606,Illegal Financing,2025-12-22,Hyderabad,Under Investigation
F007199,P03160,P09210,Illegal Financing,2025-07-21,Pune,Under Investigation
F007200,P06261,P04582,Illegal Financing,2025-03-27,Vadodara,Under Investigation
F007201,P05449,P08233,Money Laundering,2025-10-10,Hyderabad,Open
F007202,P07376,P06974,Extortion,2025-06-06,Vadodara,Closed
F007203,P03063,P06432,Extortion,2025-02-19,Mumbai,Under Investigation
F007204,P04690,P03829,Extortion,2025-08-31,Hyderabad,Under Investigation
F007205,P09230,P07927,Financial Fraud,2025-03-15,Pune,Open
F007206,P03984,P01382,Organized Fraud,2025-11-08,Delhi,Open
F007207,P04804,P07883,Extortion,2025-06-05,Vadodara,Under Investigation
F007208,P05039,P05032,Cyber Fraud,2025-01-02,Rajkot,Closed
F007209,P09421,P07496,Money Laundering,2025-10-02,Rajkot,Open
F007210,P09183,P08386,Organized Fraud,2025-03-27,Vadodara,Open
F007211,P02750,P09218,Extortion,2025-12-20,Jaipur,Open
F007212,P05437,P00789,Illegal Financing,2025-07-30,Indore,Open
F007213,P01804,P07019,Organized Fraud,2025-12-11,Surat,Open
F007214,P08520,P02430,Extortion,2025-03-09,Indore,Under Investigation
F007215,P06824,P04199,Organized Fraud,2025-10-30,Surat,Closed
F007216,P09159,P02118,Illegal Financing,2025-01-30,Bengaluru,Closed
F007217,P08304,P03933,Extortion,2025-08-09,Mumbai,Open
F007218,P02015,P09990,Extortion,2025-09-21,Mumbai,Open
F007219,P05094,P03683,Money Laundering,2025-06-13,Surat,Under Investigation
F007220,P06558,P09466,Illegal Financing,2025-12-30,Surat,Under Investigation
F007221,P05020,P00413,Illegal Financing,2025-04-15,Indore,Open
F007222,P02064,P09578,Illegal Financing,2025-05-11,Indore,Under Investigation
F007223,P03443,P09188,Illegal Financing,2025-05-08,Indore,Closed
F007224,P03863,P04205,Financial Fraud,2025-01-26,Pune,Open
F007225,P09411,P06203,Money Laundering,2025-09-01,Kolkata,Open
F007226,P03782,P04772,Financial Fraud,2025-05-01,Surat,Open
F007227,P04625,P03510,Cyber Fraud,2025-08-13,Rajkot,Under Investigation
F007228,P00263,P04463,Money Laundering,2025-07-14,Surat,Under Investigation
F007229,P00825,P09156,Money Laundering,2025-01-04,Vadodara,Under Investigation
F007230,P08633,P09781,Cyber Fraud,2025-06-29,Rajkot,Open
F007231,P08757,P00236,Cyber Fraud,2025-10-17,Delhi,Under Investigation
F007232,P09058,P09719,Illegal Financing,2025-02-13,Hyderabad,Open
F007233,P05452,P08565,Financial Fraud,2025-02-01,Surat,Under Investigation
F007234,P09434,P06985,Organized Fraud,2025-01-30,Mumbai,Open
F007235,P06301,P04022,Financial Fraud,2025-07-20,Hyderabad,Under Investigation
F007236,P01480,P09120,Organized Fraud,2025-10-22,Jaipur,Under Investigation
F007237,P08670,P01786,Organized Fraud,2025-03-08,Indore,Closed
F007238,P09860,P01873,Cyber Fraud,2025-08-28,Kolkata,Open
F007239,P03759,P08349,Money Laundering,2025-04-17,Kolkata,Closed
F007240,P08118,P07486,Financial Fraud,2025-07-21,Kolkata,Open
F007241,P06350,P09359,Illegal Financing,2025-08-08,Vadodara,Open
F007242,P00740,P05975,Financial Fraud,2025-01-15,Kolkata,Closed
F007243,P07827,P04492,Financial Fraud,2025-05-17,Pune,Under Investigation
F007244,P02109,P07580,Financial Fraud,2025-04-10,Hyderabad,Under Investigation
F007245,P05058,P07736,Illegal Financing,2025-08-29,Jaipur,Under Investigation
F007246,P02858,P09234,Money Laundering,2025-05-31,Delhi,Under Investigation
F007247,P03815,P00025,Illegal Financing,2025-11-18,Delhi,Under Investigation
F007248,P09728,P01030,Cyber Fraud,2025-05-15,Vadodara,Under Investigation
F007249,P02703,P08069,Money Laundering,2025-12-21,Ahmedabad,Under Investigation
F007250,P05511,P08205,Money Laundering,2025-11-17,Indore,Open
F007251,P02091,P03941,Money Laundering,2025-09-15,Jaipur,Closed
F007252,P01379,P07418,Extortion,2025-01-27,Surat,Open
F007253,P08805,P00288,Organized Fraud,2025-10-10,Bengaluru,Open
F007254,P07103,P05108,Extortion,2025-10-21,Jaipur,Open
F007255,P05241,P01098,Money Laundering,2025-06-06,Pune,Under Investigation
F007256,P05739,P06599,Money Laundering,2025-02-24,Pune,Open
F007257,P00242,P08318,Illegal Financing,2025-06-16,Jaipur,Closed
F007258,P03276,P09035,Financial Fraud,2025-08-07,Delhi,Open
F007259,P02834,P01295,Financial Fraud,2025-08-13,Kolkata,Under Investigation
F007260,P06444,P03248,Extortion,2025-11-17,Hyderabad,Under Investigation
